['ERROR]2023-05-15 13:17:15,309(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.Loggerload1)-Error - You can not divide a number by zero
['INFO ]2023-05-22 11:16:53,129(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:53,144(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:53,288(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:53,307(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:53,327(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:53,862(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:54,151(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:54,160(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:55,671(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:55,687(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:55,806(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:55,826(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:55,845(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:56,307(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:56,615(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:56,624(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:58,084(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:58,100(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:58,248(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:58,265(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:58,287(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:58,480(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Practice Questions Page on LinkedList Page
['INFO ]2023-05-22 11:16:58,487(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected to a Practice Questions Page of selected LinkedList Topic Page
['INFO ]2023-05-22 11:16:58,515(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User is on practice page of LinkedList
['INFO ]2023-05-22 11:17:00,384(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-the user select_from_homepage_drop_down_menu
['INFO ]2023-05-22 11:17:02,120(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to Stack page
['INFO ]2023-05-22 11:17:02,527(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_stack_page
['INFO ]2023-05-22 11:17:02,813(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Stack of selected topic page
['INFO ]2023-05-22 11:17:02,819(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:04,177(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for stack topic and click run button
['INFO ]2023-05-22 11:17:04,194(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Stack Page
['ERROR]2023-05-22 11:17:04,852(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for stack topic and click run button
['WARN ]2023-05-22 11:17:04,886(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Stack Page
['INFO ]2023-05-22 11:17:04,921(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Stack page of selected topic
['INFO ]2023-05-22 11:17:05,137(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_stack_page
['INFO ]2023-05-22 11:17:05,444(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Stack of selected topic page
['INFO ]2023-05-22 11:17:05,454(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:06,825(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for stack topic and click run button
['INFO ]2023-05-22 11:17:06,841(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Stack Page
['ERROR]2023-05-22 11:17:07,499(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for stack topic and click run button
['WARN ]2023-05-22 11:17:07,532(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Stack Page
['INFO ]2023-05-22 11:17:07,564(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Stack page of selected topic
['INFO ]2023-05-22 11:17:07,794(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_stack_page
['INFO ]2023-05-22 11:17:08,064(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Stack of selected topic page
['INFO ]2023-05-22 11:17:08,075(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:09,493(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for stack topic and click run button
['INFO ]2023-05-22 11:17:09,508(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Stack Page
['ERROR]2023-05-22 11:17:10,180(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for stack topic and click run button
['WARN ]2023-05-22 11:17:10,212(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Stack Page
['INFO ]2023-05-22 11:17:10,250(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Stack page of selected topic
['INFO ]2023-05-22 11:17:10,509(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Practice Questions Page on Stack Page
['INFO ]2023-05-22 11:17:10,509(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected to a Practice Questions Page of selected Stack Topic Page
['INFO ]2023-05-22 11:17:10,548(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User is on practice page of Stack
['INFO ]2023-05-22 11:17:12,380(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-the user select_from_homepage_drop_down_menu
['INFO ]2023-05-22 11:17:14,126(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to Queue page
['INFO ]2023-05-22 11:17:14,425(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_queue_page
['INFO ]2023-05-22 11:17:14,702(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Queue of selected topic page
['INFO ]2023-05-22 11:17:14,708(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:17,100(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Queue topic and click Run button
['INFO ]2023-05-22 11:17:17,125(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Queue Page
['ERROR]2023-05-22 11:17:17,276(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Queue topic and click Run button
['WARN ]2023-05-22 11:17:17,300(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Queue Page
['INFO ]2023-05-22 11:17:17,323(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Queue page of selected topic
['INFO ]2023-05-22 11:17:17,513(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_queue_page
['INFO ]2023-05-22 11:17:17,794(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Queue of selected topic page
['INFO ]2023-05-22 11:17:17,802(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:20,250(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Queue topic and click Run button
['INFO ]2023-05-22 11:17:20,266(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Queue Page
['ERROR]2023-05-22 11:17:20,454(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Queue topic and click Run button
['WARN ]2023-05-22 11:17:20,473(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Queue Page
['INFO ]2023-05-22 11:17:20,492(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Queue page of selected topic
['INFO ]2023-05-22 11:17:20,736(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_queue_page
['INFO ]2023-05-22 11:17:21,028(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Queue of selected topic page
['INFO ]2023-05-22 11:17:21,038(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:23,481(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Queue topic and click Run button
['INFO ]2023-05-22 11:17:23,493(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Queue Page
['ERROR]2023-05-22 11:17:23,660(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Queue topic and click Run button
['WARN ]2023-05-22 11:17:23,681(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Queue Page
['INFO ]2023-05-22 11:17:23,702(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Queue page of selected topic
['INFO ]2023-05-22 11:17:23,908(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user_click_to_select_topics_covered_on_queue_page
['INFO ]2023-05-22 11:17:24,253(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Queue of selected topic page
['INFO ]2023-05-22 11:17:24,263(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:26,662(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Queue topic and click Run button
['INFO ]2023-05-22 11:17:26,674(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for Queue Page
['ERROR]2023-05-22 11:17:26,814(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Queue topic and click Run button
['WARN ]2023-05-22 11:17:26,834(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Queue Page
['INFO ]2023-05-22 11:17:26,855(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Queue page of selected topic
['INFO ]2023-05-22 11:17:27,041(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Practice Questions Page on Queue Page
['INFO ]2023-05-22 11:17:27,046(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected to a Practice Questions Page of selected Queue Topic Page
['INFO ]2023-05-22 11:17:27,070(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User is on practice page of Queue
['INFO ]2023-05-22 11:17:28,997(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-the user select_from_homepage_drop_down_menu
['INFO ]2023-05-22 11:17:30,837(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to Tree page title as 'Tree'
['INFO ]2023-05-22 11:17:31,288(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:31,607(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:31,613(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:34,017(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:34,031(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:17:35,175(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:17:35,201(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:17:35,234(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:17:35,561(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:35,873(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:35,885(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:38,300(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:38,314(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:17:39,454(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:17:39,480(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:17:39,512(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:17:39,879(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:40,169(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:40,179(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:42,565(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:42,581(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:17:43,741(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:17:43,773(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:17:43,805(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:17:44,181(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:44,440(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:44,449(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:46,845(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:46,859(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:17:47,997(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:17:48,018(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:17:48,056(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:17:48,472(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:48,774(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:48,779(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:51,168(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:51,183(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:17:52,342(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:17:52,370(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:17:52,400(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:17:52,926(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:53,242(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:53,252(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:55,647(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:55,663(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:17:56,812(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:17:56,844(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:17:56,885(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:17:57,205(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:17:57,508(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:17:57,515(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:17:59,912(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:17:59,928(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:18:01,082(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:18:01,105(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:18:01,142(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:18:01,493(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:18:01,765(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:18:01,776(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:18:04,208(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:18:04,226(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:18:05,397(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:18:05,432(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:18:05,461(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:18:05,804(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:18:06,095(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
['INFO ]2023-05-22 11:18:06,103(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:18:08,502(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for Tree topic and click Run button
['INFO ]2023-05-22 11:18:08,521(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message will be displayed for valid Python code on run Output with Valid Python code
['ERROR]2023-05-22 11:18:09,675(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for Tree topic and click Run button
['WARN ]2023-05-22 11:18:09,707(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Tree Page
['INFO ]2023-05-22 11:18:09,735(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Tree page of selected topic
['INFO ]2023-05-22 11:18:10,069(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks select topics covered on Tree page
['INFO ]2023-05-22 11:18:10,376(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the Tree of selected topic page
